County Name,Population EstimatesJuly 1 2021(),Persons under 5 years,Persons under 18 years,Persons 65 years and over,Female persons,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Two or More Races,Hispanic or Latino,White alonenot Hispanic or Latino,Veterans2017-2021,Foreign born persons2017-2021,Housing unitsJuly 12021(),Banned or not
Adams County Ohio,27542,1707.6,6665.16,5095.27,13798.54,26660.66,165.25,165.25,82.63,,440.67,302.96,26385.24,1840,192.79,12703,0.0
Allen County Ohio,101670,6100.2,23587.44,18503.94,50021.64,84081.09,12912.09,305.01,915.03,,3456.78,3761.79,81132.66,6098,1830.06,44707,1.0
Ashland County Ohio,52316,2929.7,11666.47,10201.62,26524.21,50484.94,470.84,156.95,418.53,52.32,784.74,837.06,49752.52,3076,784.74,22513,0.0
Ashtabula County Ohio,97337,5450.87,21414.14,19467.4,47889.8,90231.4,3796.14,389.35,486.68,97.34,2433.43,4672.18,86240.58,7158,1557.39,46355,0.0
Athens County Ohio,62056,2296.07,8998.12,8874.01,31090.06,56657.13,1799.62,248.22,1737.57,62.06,1613.46,1241.12,55726.29,3255,2544.3,26387,0.0
Auglaize County Ohio,46141,2814.6,11119.98,8766.79,22978.22,44710.63,322.99,138.42,276.85,46.14,645.97,876.68,43972.37,2616,415.27,20044,1.0
Belmont County Ohio,65849,3094.9,12577.16,14289.23,32002.61,61371.27,2765.66,131.7,329.24,,1185.28,790.19,60712.78,4183,856.04,31575,0.0
Brown County Ohio,43662,2488.73,9998.6,8208.46,21831.0,42352.14,436.62,130.99,174.65,,611.27,567.61,41915.52,2909,174.65,19454,0.0
Butler County Ohio,390234,22633.57,91314.76,60486.27,197458.4,322723.52,38242.93,1170.7,16780.06,780.47,10536.32,21072.64,305553.22,20165,25755.44,154873,1.0
Carroll County Ohio,26691,1387.93,5578.42,5925.4,13158.66,25890.27,213.53,106.76,80.07,,400.36,400.36,25569.98,1863,106.76,13399,0.0
Champaign County Ohio,38699,2089.75,8513.78,7236.71,19349.5,36531.86,851.38,193.5,193.5,,928.78,696.58,35951.37,2547,464.39,16905,0.0
Clark County Ohio,135633,7866.71,30517.42,26855.33,69308.46,117186.91,12342.6,542.53,949.43,135.63,4475.89,5154.05,112982.29,10606,2441.39,61040,0.0
Clermont County Ohio,209642,11739.95,47169.45,37106.63,105659.57,198321.33,3983.2,419.28,2934.99,209.64,3563.91,4612.12,194338.13,12422,4612.12,87402,0.0
Clinton County Ohio,42004,2394.23,9534.91,7560.72,21170.02,39567.77,924.09,168.02,252.02,42.0,1050.1,840.08,38937.71,3087,1008.1,17944,0.0
Columbiana County Ohio,101310,5065.5,20667.24,21680.34,49641.9,96244.5,2634.06,303.93,303.93,,1823.58,2127.51,94522.23,8199,911.79,46142,0.0
Coshocton County Ohio,36618,2270.32,8824.94,7286.98,18382.24,35263.13,439.42,109.85,146.47,36.62,585.89,476.03,34896.95,2160,219.71,16314,0.0
Crawford County Ohio,41754,2296.47,9144.13,8893.6,21211.03,40250.86,501.05,125.26,250.52,41.75,542.8,793.33,39582.79,2472,626.31,19842,1.0
Cuyahoga County Ohio,1249387,67466.9,257373.72,237383.53,649681.24,789612.58,381063.04,3748.16,43728.54,,31234.68,82459.54,724644.46,62153,93704.02,615454,0.0
Darke County Ohio,51597,3147.42,12383.28,10319.4,25798.5,50100.69,361.18,103.19,257.98,51.6,722.36,928.75,49275.14,2808,257.98,22645,0.0
Defiance County Ohio,38144,2097.92,8696.83,7438.08,19033.86,36236.8,877.31,190.72,190.72,38.14,610.3,4119.55,32613.12,2236,762.88,16573,0.0
Delaware County Ohio,220740,12582.18,55847.22,32228.04,110370.0,186966.78,9712.56,441.48,18762.9,220.74,4856.28,6622.2,181448.28,9675,17659.2,84176,0.0
Erie County Ohio,74852,3892.3,15045.25,17141.11,38099.67,64597.28,6736.68,224.56,598.82,74.85,2619.82,3592.9,61678.05,5281,1272.48,38320,0.0
Fairfield County Ohio,161064,9341.71,38655.36,25931.3,80532.0,137065.46,15784.27,483.19,3865.54,161.06,3865.54,4187.66,134005.25,9315,6603.62,63340,0.0
Fayette County Ohio,28906,1676.55,6850.72,5260.89,14684.25,27027.11,751.56,86.72,346.87,,693.74,693.74,26477.9,1424,549.21,12718,0.0
Franklin County Ohio,1321414,87213.32,307889.46,167819.58,672599.73,869490.41,322425.02,3964.24,77963.43,1321.41,47570.9,81927.67,803419.71,59227,151962.61,589008,0.0
Fulton County Ohio,42450,2419.65,9933.3,8065.5,21225.0,40964.25,424.5,212.25,212.25,42.45,636.75,3947.85,37398.45,2405,721.65,17730,0.0
Gallia County Ohio,29158,1778.64,6793.81,5685.81,14666.47,27466.84,699.79,145.79,204.11,87.47,583.16,408.21,27146.1,1342,320.74,13440,0.0
Geauga County Ohio,95565,5064.94,21502.12,20546.47,47591.37,92411.36,1242.34,191.13,668.96,,1051.22,1720.17,90882.32,4731,2389.12,37540,0.0
Greene County Ohio,168412,8925.84,34861.28,30314.16,84711.24,144329.08,12462.49,505.24,5220.77,168.41,5726.01,5389.18,139950.37,15148,8252.19,71889,0.0
Guernsey County Ohio,38287,2144.07,8461.43,7772.26,19105.21,36525.8,650.88,153.15,191.44,,804.03,497.73,36104.64,2773,382.87,19041,0.0
Hamilton County Ohio,826139,52046.76,190011.97,133008.38,424635.45,555991.55,219752.97,2478.42,24784.17,826.14,22305.75,32219.42,531207.38,39032,48742.2,380401,0.0
Hancock County Ohio,74656,4255.39,16349.66,13512.74,37402.66,69504.74,1642.43,298.62,1642.43,,1493.12,4628.67,65547.97,4554,2538.3,33908,1.0
Hardin County Ohio,30621,1867.88,7195.94,4960.6,15310.5,29334.92,336.83,91.86,275.59,30.62,551.18,673.66,28814.36,1707,643.04,12904,0.0
Harrison County Ohio,14477,723.85,3040.17,3199.42,7252.98,13796.58,304.02,43.43,43.43,,289.54,188.2,13651.81,974,101.34,7378,0.0
Henry County Ohio,27538,1597.2,6388.82,5342.37,13796.54,26656.78,220.3,137.69,165.23,,357.99,2175.5,24674.05,2045,385.53,12063,0.0
Highland County Ohio,43354,2731.3,10318.25,8193.91,21850.42,41446.42,693.66,173.42,216.77,,823.73,606.96,41012.88,2830,346.83,18977,0.0
Hocking County Ohio,28097,1489.14,6097.05,5563.21,14048.5,27169.8,224.78,112.39,140.49,,421.46,337.16,26916.93,1676,140.49,12994,0.0
Holmes County Ohio,44271,3718.76,13502.66,6242.21,21914.14,43562.66,177.08,44.27,132.81,44.27,309.9,442.71,43208.5,1081,177.08,14578,0.0
Huron County Ohio,58367,3502.02,13891.35,10564.43,29241.87,55973.95,875.5,175.1,233.47,,1050.61,4085.69,52296.83,3285,700.4,25507,0.0
Jackson County Ohio,32511,1983.17,7770.13,5819.47,16418.06,31438.14,227.58,130.04,130.04,,585.2,357.62,31113.03,2198,195.07,14512,0.0
Jefferson County Ohio,64789,3304.24,12763.43,14383.16,33042.39,59087.57,3563.4,129.58,388.73,,1619.72,1166.2,58180.52,4649,842.26,31081,0.0
Knox County Ohio,62897,3710.92,14403.41,11824.64,31762.98,60695.6,628.97,188.69,377.38,,943.46,1132.15,59752.15,4132,817.66,25920,1.0
Lake County Ohio,232023,11137.1,45244.48,48956.85,118099.71,210908.91,12297.22,464.05,3712.37,,4640.46,11601.15,200931.92,14005,12993.29,105937,0.0
Lawrence County Ohio,57445,3044.58,12465.56,11086.88,29296.95,54687.64,1263.79,172.34,287.23,,1034.01,574.45,54228.08,3967,517.0,26519,0.0
Licking County Ohio,180401,10463.26,41492.23,30848.57,91102.5,161098.09,7937.64,721.6,5953.23,180.4,4690.43,4149.22,157670.47,12598,5953.23,73008,0.0
Logan County Ohio,46035,2624.0,10542.02,8792.69,23109.57,43411.0,920.7,138.1,414.32,46.04,1104.84,966.74,42582.38,2873,598.46,23789,1.0
Lorain County Ohio,315595,17042.13,68799.71,60594.24,159059.88,270780.51,28403.55,1262.38,4733.92,315.6,10414.64,34084.26,243323.74,18562,8836.66,135686,0.0
Lucas County Ohio,429191,26180.65,99143.12,73391.66,220604.17,315884.58,87984.16,1716.76,7725.44,429.19,15450.88,33476.9,289274.73,20910,16309.26,200856,0.0
Madison County Ohio,44386,2263.69,9010.36,7146.15,20151.24,39814.24,2885.09,177.54,665.79,,798.95,1198.42,38793.36,2666,665.79,16359,0.0
Mahoning County Ohio,226762,12018.39,45579.16,49434.12,114514.81,181636.36,36281.92,680.29,2040.86,226.76,5895.81,15873.34,169844.74,13771,4988.76,107973,0.0
Marion County Ohio,65291,3656.3,13906.98,12078.84,30490.9,58696.61,4374.5,195.87,391.75,65.29,1501.69,2024.02,57129.62,4542,1044.66,27357,0.0
Medina County Ohio,183092,8971.51,39730.96,34970.57,91912.18,174303.58,2929.47,366.18,2563.29,,2746.38,4760.39,170275.56,9712,5492.76,75697,1.0
Meigs County Ohio,22049,1080.4,4630.29,4630.29,11046.55,21409.58,220.49,66.15,66.15,,286.64,198.44,21255.24,1313,66.15,10664,0.0
Mercer County Ohio,42309,3215.48,11127.27,8038.71,20858.34,40785.88,211.54,126.93,253.85,380.78,550.02,803.87,40151.24,2087,676.94,18013,0.0
Miami County Ohio,109264,6228.05,25239.98,20978.69,55069.06,101506.26,2950.13,218.53,1966.75,,2513.07,2185.28,99648.77,6858,3387.18,46998,0.0
Monroe County Ohio,13329,653.12,2732.44,3158.97,6557.87,12969.12,93.3,26.66,26.66,,213.26,93.3,12889.14,885,79.97,7132,0.0
Montgomery County Ohio,535840,31614.56,118420.64,98058.72,276493.44,387948.16,116277.28,1607.52,12860.16,535.84,16611.04,19290.24,372408.8,37254,26792.0,252095,0.0
Morgan County Ohio,13682,670.42,2818.49,3051.09,6813.64,12628.49,410.46,54.73,27.36,,547.28,136.82,12546.39,786,54.73,7286,0.0
Morrow County Ohio,35151,1933.3,7768.37,6502.94,17434.9,34026.17,316.36,105.45,175.76,,562.42,632.72,33498.9,2214,386.66,14584,0.0
Muskingum County Ohio,86408,5098.07,19614.62,15899.07,44154.49,79408.95,3369.91,259.22,518.45,,2765.06,1123.3,78631.28,5328,432.04,38337,0.0
Noble County Ohio,14176,708.8,2665.09,4068.51,5712.93,13438.85,467.81,56.7,42.53,,170.11,113.41,13353.79,1060,85.06,5785,0.0
Ottawa County Ohio,40104,1644.26,7218.72,10587.46,20052.0,38740.46,441.14,120.31,160.42,,641.66,2165.62,36815.47,3183,481.25,28744,0.0
Paulding County Ohio,18871,1151.13,4547.91,3623.23,9435.5,18191.64,226.45,94.36,56.61,,283.06,981.29,17380.19,1167,264.19,8521,0.0
Perry County Ohio,35460,2056.68,8368.56,6240.96,17623.62,34431.66,212.76,141.84,70.92,35.46,567.36,354.6,34112.52,2578,177.3,15006,0.0
Pickaway County Ohio,59333,3144.65,12756.6,9552.61,27945.84,55357.69,2373.32,178.0,356.0,,1067.99,1008.66,54586.36,3723,474.66,22540,0.0
Pike County Ohio,27089,1706.61,6474.27,4984.38,13598.68,25815.82,352.16,216.71,81.27,27.09,595.96,352.16,25572.02,2036,189.62,12076,0.0
Portage County Ohio,162382,7144.81,29715.91,28741.61,82490.06,146630.95,8119.1,324.76,3410.02,162.38,3734.79,3572.4,143708.07,8573,4871.46,71037,0.0
Preble County Ohio,40867,2165.95,9113.34,8132.53,20433.5,39518.39,326.94,163.47,286.07,,572.14,449.54,39150.59,2703,367.8,18120,0.0
Putnam County Ohio,34318,2196.35,8854.04,6314.51,17021.73,33563.0,240.23,137.27,102.95,,274.54,2333.62,31435.29,1454,446.13,13869,0.0
Richland County Ohio,125195,7010.92,27417.7,25039.0,61220.36,108794.46,11893.52,250.39,1126.76,125.2,3129.88,2754.29,106540.94,8429,2003.12,54634,0.0
Ross County Ohio,76891,4075.22,16224.0,13532.82,36446.33,69586.36,4459.68,230.67,384.46,,2076.06,1076.47,68817.45,5240,692.02,32065,0.0
Sandusky County Ohio,58715,3170.61,12917.3,11625.57,29416.22,54428.8,2113.74,234.86,293.58,,1644.02,6282.5,48850.88,3550,998.16,26496,0.0
Scioto County Ohio,73346,4034.03,15989.43,13789.05,36966.38,69018.59,2053.69,440.08,293.38,,1540.27,1173.54,68065.09,4573,513.42,33087,0.0
Shelby County Ohio,47977,3070.53,11850.32,8348.0,23748.62,44954.45,1151.45,95.95,575.72,47.98,1151.45,767.63,44330.75,2824,767.63,20116,0.0
Stark County Ohio,373834,20560.87,80374.31,75140.63,191029.17,327104.75,30280.55,1121.5,3738.34,,11215.02,8972.02,320001.9,23509,7850.51,167323,0.0
Trumbull County Ohio,201335,10469.42,41475.01,44495.04,102479.52,177174.8,17717.48,402.67,1208.01,,4630.7,4228.04,173953.44,14454,3020.02,94373,0.0
Tuscarawas County Ohio,92500,5735.0,21182.5,18500.0,46435.0,88985.0,925.0,555.0,370.0,277.5,1387.5,3330.0,86580.0,5457,1387.5,40845,0.0
Vinton County Ohio,12696,672.89,2704.25,2361.46,6309.91,12315.12,76.18,50.78,50.78,,203.14,139.66,12200.86,634,101.57,5933,0.0
Warren County Ohio,246553,13560.42,58926.17,37476.06,121550.63,214254.56,9615.57,493.11,17012.16,246.55,4931.06,7889.7,207351.07,12515,19231.13,95160,0.0
Washington County Ohio,59423,2911.73,11765.75,13013.64,30008.62,56867.81,772.5,178.27,415.96,,1129.04,713.08,56273.58,4903,831.92,27969,0.0
Wayne County Ohio,116710,7352.73,28243.82,21824.77,58238.29,111224.63,1867.36,233.42,1283.81,116.71,2100.78,2567.62,109123.85,5834,2567.62,46830,0.0
Williams County Ohio,36716,2092.81,8114.24,7343.2,18321.28,35394.22,477.31,146.86,220.3,,440.59,1909.23,33705.29,1996,587.46,16571,0.0
Seneca County Ohio,54906,3019.83,11914.6,10377.23,27288.28,51446.92,1482.46,164.72,439.25,54.91,1372.65,3129.64,48756.53,3361,878.5,23973,1.0
Wood County Ohio,132472,6623.6,26891.82,21327.99,66765.89,122801.54,3841.69,397.42,2649.44,,2649.44,8080.79,115648.06,6213,4371.58,57308,0.0
Union County Ohio,64971,3963.23,15852.92,8446.23,33460.06,58214.02,1754.22,129.94,3703.35,,1169.48,1624.28,56784.65,3081,3508.43,24130,1.0
Wyandot County Ohio,21708,1128.82,4840.88,4428.43,10897.42,21121.88,108.54,65.12,151.96,,260.5,716.36,20514.06,1341,303.91,9847,0.0
